,MEMBER_NO,DAYS_SINCE_LAST_FLIGHT,avg_discount
0,54993,0,0.961639043
23824,8666,0,0.617464892
8141,47231,0,0.663307234
8147,56992,0,0.683242899
8154,30377,0,0.73069409
